"","Control_1","Control_2","Control_3","Treated_1","Treated_2","Treated_3"
"Gene_2143",50,87,113,57,90,126
"Gene_2144",56,82,107,62,115,147
"Gene_2145",59,74,101,74,98,112
"Gene_2146",59,98,88,52,95,94
"Gene_2147",49,85,92,64,94,108
"Gene_2148",53,68,100,71,95,114
"Gene_2149",58,71,98,65,77,117
"Gene_2150",57,85,110,57,126,126
"Gene_2151",56,87,108,65,83,140
"Gene_2152",57,71,98,78,90,146
"Gene_2153",58,88,122,69,82,117
"Gene_2154",57,76,117,53,103,128
"Gene_2155",59,77,103,74,89,117
"Gene_2156",53,65,126,62,107,117
"Gene_2157",54,81,90,77,100,132
"Gene_2158",45,76,110,62,94,141
"Gene_2159",57,76,103,72,98,116
"Gene_2160",59,81,100,59,88,129
"Gene_2161",58,84,114,54,102,126
"Gene_2162",52,81,118,69,96,96
"Gene_2163",56,83,105,46,112,111
"Gene_2164",48,78,100,60,100,117
"Gene_2165",52,84,95,74,104,104
"Gene_2166",50,72,95,66,96,116
"Gene_2167",50,70,83,60,90,94
"Gene_2168",53,91,98,58,101,146
"Gene_2169",50,61,101,62,102,116
"Gene_2170",52,61,116,55,108,117
"Gene_2171",62,89,105,55,106,117
"Gene_2172",60,77,104,62,90,111
"Gene_2173",62,81,90,56,109,122
"Gene_2174",62,84,110,77,101,126
"Gene_2175",45,91,114,72,120,128
"Gene_2176",71,74,92,62,96,106
"Gene_2177",60,86,107,59,92,135
"Gene_2178",56,71,116,57,96,111
"Gene_2179",52,90,98,66,112,110
"Gene_2180",51,77,110,60,89,116
"Gene_2181",59,89,116,53,122,110
"Gene_2182",52,79,103,55,88,141
"Gene_2183",57,74,99,69,79,122
"Gene_2184",53,95,121,67,94,130
"Gene_2185",52,75,105,50,92,104
"Gene_2186",55,69,95,62,113,130
"Gene_2187",46,83,83,65,84,122
"Gene_2188",39,77,121,78,88,111
"Gene_2189",56,60,94,66,89,112
"Gene_2190",59,94,107,60,94,106
"Gene_2191",52,76,113,74,102,122
"Gene_2192",54,86,134,62,65,106
"Gene_2193",52,76,94,67,90,126
"Gene_2194",54,76,109,70,101,124
"Gene_2195",55,82,88,52,120,124
"Gene_2196",55,76,103,54,100,122
"Gene_2197",57,92,92,51,100,123
"Gene_2198",64,72,105,46,108,135
"Gene_2199",57,87,118,68,78,114
"Gene_2200",65,72,113,52,77,106
"Gene_2201",52,70,101,58,114,110
"Gene_2202",54,87,108,61,118,140
"Gene_2203",48,68,125,58,88,122
"Gene_2204",41,77,86,70,84,120
"Gene_2205",62,74,92,67,108,111
"Gene_2206",52,97,124,66,100,104
"Gene_2207",57,80,77,67,85,142
"Gene_2208",49,87,98,69,82,134
"Gene_2209",66,101,104,78,79,146
"Gene_2210",62,88,103,76,120,105
"Gene_2211",60,71,108,66,107,135
"Gene_2212",56,89,101,62,115,126
"Gene_2213",60,60,130,65,103,110
"Gene_2214",59,88,112,62,101,106
"Gene_2215",66,84,107,75,100,144
"Gene_2216",61,91,91,58,96,129
"Gene_2217",55,85,95,59,94,111
"Gene_2218",55,96,95,74,119,114
"Gene_2219",52,82,88,59,92,126
"Gene_2220",63,65,95,70,96,114
"Gene_2221",55,87,118,61,95,114
"Gene_2222",58,96,101,60,90,118
"Gene_2223",58,84,120,66,94,130
"Gene_2224",67,64,117,61,90,102
"Gene_2225",58,98,121,76,84,144
"Gene_2226",50,70,83,71,78,132
"Gene_2227",54,93,118,63,83,138
"Gene_2228",55,84,105,66,89,129
"Gene_2229",51,82,75,82,118,117
"Gene_2230",67,83,95,57,80,110
"Gene_2231",55,75,103,69,91,110
"Gene_2232",56,76,116,62,90,152
"Gene_2233",50,66,105,66,97,120
"Gene_2234",52,78,107,58,91,129
"Gene_2235",41,98,116,69,78,106
"Gene_2236",55,90,95,70,102,96
"Gene_2237",62,84,96,68,92,130
"Gene_2238",63,89,99,62,94,135
"Gene_2239",57,81,114,68,86,108
"Gene_2240",63,77,105,58,90,147
"Gene_2241",56,110,109,65,116,104
"Gene_2242",67,72,113,59,95,144
"Gene_2243",66,86,95,64,94,90
"Gene_2244",55,85,101,62,101,126
"Gene_2245",58,88,104,66,80,129
"Gene_2246",53,80,99,54,83,117
"Gene_2247",56,64,91,56,90,108
"Gene_2248",59,95,121,55,109,129
"Gene_2249",53,81,101,66,106,118
"Gene_2250",58,98,101,69,90,135
"Gene_2251",55,89,114,60,112,108
"Gene_2252",50,66,127,73,73,106
"Gene_2253",52,83,108,62,86,132
"Gene_2254",63,74,127,65,85,148
"Gene_2255",55,76,99,54,103,120
"Gene_2256",51,72,92,48,82,117
"Gene_2257",51,60,129,75,78,120
"Gene_2258",62,85,100,54,89,122
"Gene_2259",56,71,110,81,78,110
"Gene_2260",69,58,101,68,92,108
"Gene_2261",67,84,143,69,101,108
"Gene_2262",59,88,98,82,109,118
"Gene_2263",56,80,90,58,98,114
"Gene_2264",59,73,103,58,89,141
"Gene_2265",52,77,105,66,110,126
"Gene_2266",58,82,108,49,109,134
"Gene_2267",52,76,88,70,109,136
"Gene_2268",55,79,95,60,95,108
"Gene_2269",54,86,114,80,103,118
"Gene_2270",54,84,109,69,92,114
"Gene_2271",50,68,96,67,95,138
"Gene_2272",47,92,120,69,113,112
"Gene_2273",61,91,105,66,110,87
"Gene_2274",59,83,121,71,91,120
"Gene_2275",58,88,121,66,101,138
"Gene_2276",48,79,86,63,80,144
"Gene_2277",55,76,114,69,108,129
"Gene_2278",57,80,104,49,94,116
"Gene_2279",54,80,98,73,113,122
"Gene_2280",48,97,101,58,94,153
"Gene_2281",57,74,100,53,74,114
"Gene_2282",64,68,118,54,82,120
"Gene_2283",48,104,100,74,90,112
"Gene_2284",55,73,96,70,89,102
"Gene_2285",52,92,108,55,104,126
"Gene_2286",62,72,83,66,80,120
"Gene_2287",55,77,103,56,112,100
"Gene_2288",47,88,103,58,102,136
"Gene_2289",56,82,84,63,104,124
"Gene_2290",55,76,101,71,83,104
"Gene_2291",42,78,98,62,86,111
"Gene_2292",51,75,100,58,101,150
"Gene_2293",44,85,113,79,77,124
"Gene_2294",73,76,104,47,88,118
"Gene_2295",41,75,118,74,74,132
"Gene_2296",48,87,98,65,85,132
"Gene_2297",54,96,116,47,80,122
"Gene_2298",57,76,103,63,106,118
"Gene_2299",46,90,104,55,79,104
"Gene_2300",57,88,109,62,90,118
"Gene_2301",71,77,101,78,96,117
"Gene_2302",61,79,79,67,88,110
"Gene_2303",48,74,105,71,98,148
"Gene_2304",53,75,109,61,109,117
"Gene_2305",52,71,108,69,94,123
"Gene_2306",62,74,112,50,96,106
"Gene_2307",57,87,99,55,102,117
"Gene_2308",59,73,120,71,116,110
"Gene_2309",50,92,104,58,86,111
"Gene_2310",48,86,100,59,89,98
"Gene_2311",56,71,103,72,96,106
"Gene_2312",58,92,125,61,95,118
"Gene_2313",62,86,120,78,108,116
"Gene_2314",54,79,98,71,97,147
"Gene_2315",68,71,112,56,94,129
"Gene_2316",52,84,84,53,98,128
"Gene_2317",57,85,99,66,114,117
"Gene_2318",56,65,110,54,104,120
"Gene_2319",55,73,114,64,88,142
"Gene_2320",56,69,84,71,97,93
"Gene_2321",55,70,112,69,104,120
"Gene_2322",56,85,104,71,92,110
"Gene_2323",47,80,84,70,94,124
"Gene_2324",53,98,116,61,104,144
"Gene_2325",60,89,95,56,84,117
"Gene_2326",67,85,107,56,104,106
"Gene_2327",57,80,117,79,94,88
"Gene_2328",52,79,88,62,90,141
"Gene_2329",51,84,79,64,92,114
"Gene_2330",44,74,120,62,106,114
"Gene_2331",52,67,94,70,108,120
"Gene_2332",60,82,126,50,96,126
"Gene_2333",46,78,92,64,103,118
"Gene_2334",52,69,95,58,106,142
"Gene_2335",55,86,131,56,97,126
"Gene_2336",61,75,124,67,86,136
"Gene_2337",65,88,101,58,85,132
"Gene_2338",55,84,94,65,82,122
"Gene_2339",53,90,104,50,101,134
"Gene_2340",55,86,103,65,98,106
"Gene_2341",55,68,105,58,113,111
"Gene_2342",56,93,124,70,91,123
"Gene_2343",65,85,108,70,95,120
"Gene_2344",51,79,107,62,109,140
"Gene_2345",50,74,84,70,72,117
"Gene_2346",48,77,105,67,95,111
"Gene_2347",51,74,107,62,107,123
"Gene_2348",58,70,113,52,96,134
"Gene_2349",63,98,103,74,107,141
"Gene_2350",52,81,109,66,112,116
"Gene_2351",45,66,94,50,79,124
"Gene_2352",73,78,104,64,96,117
"Gene_2353",57,86,96,56,96,108
"Gene_2354",66,83,109,78,74,116
"Gene_2355",53,88,110,63,95,92
"Gene_2356",63,80,118,69,88,120
"Gene_2357",50,80,103,53,108,112
"Gene_2358",51,85,95,66,89,126
"Gene_2359",59,84,105,66,100,124
"Gene_2360",52,82,96,70,92,111
"Gene_2361",52,65,104,70,103,98
"Gene_2362",52,76,96,71,91,114
"Gene_2363",52,78,109,55,91,98
"Gene_2364",48,73,98,72,89,104
"Gene_2365",55,88,99,63,97,118
"Gene_2366",62,83,109,62,103,105
"Gene_2367",59,80,101,60,102,134
"Gene_2368",57,79,117,79,83,138
"Gene_2369",64,75,104,67,85,117
"Gene_2370",66,80,116,58,116,114
"Gene_2371",37,73,91,61,98,112
"Gene_2372",58,85,116,67,96,126
"Gene_2373",43,72,91,63,97,129
"Gene_2374",71,80,91,73,97,114
"Gene_2375",56,82,118,66,89,114
"Gene_2376",52,65,101,66,103,138
"Gene_2377",54,75,90,62,114,108
"Gene_2378",55,78,118,64,102,123
"Gene_2379",55,87,79,63,108,148
"Gene_2380",61,74,88,62,89,110
"Gene_2381",57,80,100,64,113,126
"Gene_2382",59,85,104,65,113,114
"Gene_2383",55,86,94,61,96,120
"Gene_2384",51,65,129,59,92,126
"Gene_2385",55,84,99,68,98,120
"Gene_2386",66,84,108,66,108,135
"Gene_2387",58,94,124,67,94,100
"Gene_2388",59,82,113,66,108,123
"Gene_2389",59,75,101,56,90,122
"Gene_2390",59,75,88,58,94,130
"Gene_2391",64,90,88,65,85,153
"Gene_2392",55,77,114,57,103,128
"Gene_2393",57,86,135,58,91,130
"Gene_2394",68,87,113,70,97,102
"Gene_2395",52,68,107,61,90,130
"Gene_2396",57,71,104,67,85,129
"Gene_2397",55,98,101,68,73,142
"Gene_2398",56,95,104,66,91,114
"Gene_2399",54,76,99,74,110,141
"Gene_2400",62,88,101,53,89,100
"Gene_2401",62,82,105,77,115,123
"Gene_2402",59,73,108,54,98,116
"Gene_2403",57,69,108,58,91,147
"Gene_2404",57,79,110,67,79,129
"Gene_2405",69,83,105,76,101,120
"Gene_2406",47,75,105,66,88,124
"Gene_2407",55,94,98,62,90,124
"Gene_2408",48,80,117,70,114,135
"Gene_2409",54,87,103,56,110,116
"Gene_2410",55,72,117,63,84,134
"Gene_2411",59,80,101,54,100,132
"Gene_2412",55,77,112,54,74,106
"Gene_2413",57,79,114,63,82,116
"Gene_2414",46,81,94,73,104,138
"Gene_2415",57,70,101,60,101,120
"Gene_2416",53,81,87,70,100,148
"Gene_2417",60,80,101,62,90,114
"Gene_2418",62,82,99,70,78,120
"Gene_2419",54,88,109,60,65,124
"Gene_2420",77,83,91,64,83,122
"Gene_2421",72,73,90,74,85,105
"Gene_2422",52,76,109,66,104,108
"Gene_2423",62,101,114,67,96,108
"Gene_2424",66,70,101,72,92,112
"Gene_2425",48,81,100,60,107,106
"Gene_2426",56,71,122,65,103,114
"Gene_2427",57,78,107,58,88,134
"Gene_2428",65,63,108,62,76,123
"Gene_2429",42,90,133,70,89,112
"Gene_2430",64,82,100,65,97,111
"Gene_2431",49,97,91,67,95,86
"Gene_2432",62,85,116,68,94,124
"Gene_2433",53,79,100,58,104,122
"Gene_2434",63,84,94,59,78,141
"Gene_2435",64,67,103,70,107,105
"Gene_2436",64,78,90,66,94,122
"Gene_2437",54,78,117,61,102,141
"Gene_2438",47,76,101,74,104,132
"Gene_2439",62,69,84,65,95,124
"Gene_2440",48,78,94,62,102,123
"Gene_2441",62,100,101,62,102,98
"Gene_2442",55,78,95,60,98,122
"Gene_2443",59,85,87,71,97,114
"Gene_2444",55,76,103,59,90,130
"Gene_2445",64,72,98,66,103,111
"Gene_2446",52,79,94,66,120,108
"Gene_2447",67,76,118,66,109,106
"Gene_2448",59,85,105,58,100,90
"Gene_2449",52,95,108,74,84,99
"Gene_2450",57,73,122,63,89,94
"Gene_2451",65,89,126,64,96,147
"Gene_2452",58,74,94,59,92,129
"Gene_2453",53,89,104,58,96,136
"Gene_2454",61,79,116,69,91,120
"Gene_2455",48,74,112,65,84,117
"Gene_2456",57,79,103,62,79,126
"Gene_2457",43,86,108,63,102,120
"Gene_2458",57,87,87,72,102,123
"Gene_2459",51,74,125,65,100,99
"Gene_2460",56,65,107,62,96,120
"Gene_2461",59,81,120,66,88,114
"Gene_2462",51,77,101,84,70,96
"Gene_2463",59,82,109,50,100,112
"Gene_2464",52,70,83,70,85,114
"Gene_2465",60,86,105,62,114,116
"Gene_2466",59,78,94,60,118,102
"Gene_2467",46,83,101,46,95,122
"Gene_2468",53,76,127,61,115,141
"Gene_2469",55,70,114,66,95,105
"Gene_2470",56,67,133,64,77,106
"Gene_2471",58,79,95,72,108,117
"Gene_2472",59,83,104,65,109,99
"Gene_2473",63,87,131,66,89,117
"Gene_2474",60,82,105,54,96,98
"Gene_2475",47,69,99,54,119,138
"Gene_2476",56,77,96,74,109,120
"Gene_2477",51,66,105,61,91,130
"Gene_2478",42,70,86,73,110,126
"Gene_2479",49,70,104,70,100,114
"Gene_2480",57,90,110,75,80,110
"Gene_2481",46,99,120,71,100,132
"Gene_2482",60,84,95,61,100,135
"Gene_2483",58,78,117,64,90,112
"Gene_2484",59,95,105,69,78,98
"Gene_2485",52,85,112,68,101,124
"Gene_2486",52,82,112,68,85,110
"Gene_2487",58,90,110,63,104,105
"Gene_2488",51,65,112,67,92,110
"Gene_2489",52,72,92,61,95,108
"Gene_2490",55,88,103,75,95,152
"Gene_2491",46,72,100,69,89,105
"Gene_2492",62,79,108,60,92,116
"Gene_2493",60,67,104,70,80,140
"Gene_2494",57,73,100,61,84,128
"Gene_2495",51,98,100,54,79,118
"Gene_2496",60,86,96,66,97,111
"Gene_2497",54,68,107,57,97,130
"Gene_2498",58,81,100,68,102,92
"Gene_2499",62,79,127,60,83,108
"Gene_2500",52,85,90,52,73,124
"Gene_2501",62,84,108,67,94,94
"Gene_2502",51,89,114,70,76,128
"Gene_2503",64,82,96,55,98,108
"Gene_2504",59,79,117,57,101,160
"Gene_2505",57,84,103,62,101,134
"Gene_2506",61,78,100,65,89,154
"Gene_2507",52,89,82,77,92,128
"Gene_2508",59,76,103,62,86,141
"Gene_2509",62,90,91,78,89,112
"Gene_2510",57,88,101,62,82,94
"Gene_2511",52,78,131,74,106,114
"Gene_2512",46,74,98,68,103,124
"Gene_2513",56,79,103,67,88,120
"Gene_2514",62,93,99,61,100,102
"Gene_2515",55,92,105,64,86,106
"Gene_2516",65,70,116,67,116,110
"Gene_2517",54,76,86,66,89,120
"Gene_2518",51,83,118,75,102,120
"Gene_2519",55,115,105,68,85,122
"Gene_2520",60,72,103,68,96,110
"Gene_2521",57,62,107,67,97,117
"Gene_2522",56,85,107,62,102,114
"Gene_2523",44,69,112,58,112,114
"Gene_2524",55,88,122,66,113,104
"Gene_2525",60,72,75,70,83,136
"Gene_2526",55,67,108,54,82,128
"Gene_2527",55,69,117,66,66,110
"Gene_2528",57,80,104,67,104,117
"Gene_2529",58,89,101,66,96,122
"Gene_2530",58,68,120,51,103,116
"Gene_2531",45,89,112,54,101,140
"Gene_2532",58,77,109,69,109,138
"Gene_2533",66,71,91,67,85,136
"Gene_2534",50,79,91,58,76,112
"Gene_2535",51,78,105,67,108,112
"Gene_2536",65,73,109,63,84,120
"Gene_2537",52,72,104,66,88,117
"Gene_2538",52,79,91,62,100,108
"Gene_2539",55,79,103,81,112,118
"Gene_2540",57,68,81,57,89,117
"Gene_2541",55,82,101,62,92,136
"Gene_2542",53,80,94,58,103,120
"Gene_2543",54,81,103,63,95,124
"Gene_2544",46,74,84,69,100,141
"Gene_2545",54,96,127,48,79,111
"Gene_2546",46,84,99,64,82,117
"Gene_2547",48,77,114,76,106,124
"Gene_2548",48,77,103,61,110,124
"Gene_2549",50,74,91,66,96,141
"Gene_2550",62,72,113,73,74,98
"Gene_2551",56,85,99,65,100,112
"Gene_2552",52,82,110,75,90,106
"Gene_2553",46,67,109,70,107,130
"Gene_2554",53,79,104,64,102,130
"Gene_2555",48,81,112,65,94,135
"Gene_2556",51,76,131,61,91,117
"Gene_2557",57,82,114,64,107,135
"Gene_2558",56,84,130,78,100,123
"Gene_2559",55,72,122,63,115,96
"Gene_2560",59,80,98,62,113,106
"Gene_2561",56,76,82,64,92,117
"Gene_2562",52,73,107,62,90,130
"Gene_2563",52,76,101,63,101,129
"Gene_2564",54,85,108,72,89,117
"Gene_2565",46,81,100,59,109,128
"Gene_2566",56,90,103,64,89,128
"Gene_2567",51,72,83,63,108,100
"Gene_2568",43,75,92,59,109,105
"Gene_2569",55,63,100,60,92,135
"Gene_2570",58,85,83,59,91,138
"Gene_2571",50,76,108,62,96,108
"Gene_2572",48,68,90,54,101,99
"Gene_2573",48,73,103,46,97,134
"Gene_2574",55,71,112,54,94,94
"Gene_2575",66,85,98,62,114,122
"Gene_2576",54,69,103,62,88,112
"Gene_2577",44,61,94,78,92,108
"Gene_2578",53,81,108,71,90,140
"Gene_2579",48,79,96,57,97,110
"Gene_2580",62,87,99,67,96,112
"Gene_2581",67,78,109,71,94,105
"Gene_2582",52,82,117,48,101,104
"Gene_2583",72,69,124,64,107,106
"Gene_2584",61,85,109,62,109,120
"Gene_2585",60,83,91,58,91,114
"Gene_2586",69,79,109,58,82,118
"Gene_2587",54,81,114,59,112,102
"Gene_2588",55,80,92,64,112,116
"Gene_2589",55,100,81,67,102,114
"Gene_2590",58,88,121,70,92,130
"Gene_2591",49,81,125,63,92,102
"Gene_2592",52,65,127,62,92,104
"Gene_2593",63,89,109,61,103,118
"Gene_2594",54,64,103,56,80,106
"Gene_2595",59,84,118,63,102,135
"Gene_2596",54,69,101,62,85,132
"Gene_2597",52,78,91,61,130,105
"Gene_2598",55,81,103,64,79,136
"Gene_2599",52,68,112,61,102,92
"Gene_2600",55,70,104,58,88,118
"Gene_2601",52,85,86,62,101,138
"Gene_2602",50,80,91,56,106,126
"Gene_2603",49,76,99,59,74,117
"Gene_2604",58,85,98,64,94,114
"Gene_2605",52,82,104,74,91,130
"Gene_2606",59,85,122,58,91,140
"Gene_2607",48,75,101,58,90,124
"Gene_2608",58,70,87,74,97,134
"Gene_2609",57,69,113,65,84,112
"Gene_2610",59,93,127,51,97,124
"Gene_2611",68,90,91,73,89,134
"Gene_2612",62,71,90,67,102,129
"Gene_2613",57,75,118,63,109,165
"Gene_2614",67,86,105,69,112,118
"Gene_2615",59,85,86,60,110,134
"Gene_2616",59,96,100,63,98,126
"Gene_2617",64,69,100,62,98,122
"Gene_2618",57,81,101,63,89,129
"Gene_2619",60,88,94,69,94,106
"Gene_2620",54,84,105,61,85,110
"Gene_2621",62,90,94,62,96,141
"Gene_2622",58,86,110,63,102,132
"Gene_2623",52,88,91,62,102,126
"Gene_2624",52,77,105,54,104,120
"Gene_2625",70,80,90,50,89,126
"Gene_2626",56,58,105,59,94,123
"Gene_2627",54,70,96,70,100,120
"Gene_2628",52,77,110,63,78,123
"Gene_2629",57,72,109,60,100,153
"Gene_2630",74,79,112,62,72,120
"Gene_2631",52,82,99,62,94,108
"Gene_2632",61,76,104,57,83,114
"Gene_2633",59,68,105,76,90,110
"Gene_2634",51,87,104,62,106,136
"Gene_2635",57,88,104,62,104,118
"Gene_2636",64,100,98,69,100,134
"Gene_2637",59,78,105,56,103,117
"Gene_2638",41,81,91,72,102,124
"Gene_2639",43,66,114,67,119,135
"Gene_2640",55,69,114,72,89,114
"Gene_2641",61,78,105,58,98,104
"Gene_2642",63,81,104,67,92,94
"Gene_2643",55,78,87,70,124,117
"Gene_2644",68,77,99,58,103,99
"Gene_2645",62,97,100,58,102,114
"Gene_2646",63,77,112,52,80,120
"Gene_2647",54,63,109,55,106,141
"Gene_2648",50,86,96,67,97,110
"Gene_2649",58,82,110,76,106,156
"Gene_2650",57,76,103,64,102,102
"Gene_2651",56,75,112,64,89,124
"Gene_2652",51,83,94,59,109,130
"Gene_2653",56,81,114,67,101,138
"Gene_2654",57,88,104,54,89,120
"Gene_2655",63,86,82,69,91,123
"Gene_2656",62,88,73,61,80,112
"Gene_2657",46,61,104,58,94,132
"Gene_2658",54,77,98,68,107,123
"Gene_2659",54,71,101,70,92,111
"Gene_2660",51,85,107,78,100,92
"Gene_2661",59,76,99,58,74,104
"Gene_2662",63,82,87,52,100,146
"Gene_2663",57,83,108,52,106,130
"Gene_2664",49,75,110,62,102,129
"Gene_2665",66,79,100,62,92,111
"Gene_2666",59,76,101,66,83,122
"Gene_2667",59,87,110,55,103,128
"Gene_2668",64,75,130,62,98,112
"Gene_2669",51,69,107,65,95,122
"Gene_2670",55,80,112,63,92,134
"Gene_2671",49,60,92,74,82,111
"Gene_2672",59,92,105,58,102,122
"Gene_2673",53,70,104,63,84,118
"Gene_2674",59,91,92,66,74,129
"Gene_2675",61,75,114,68,96,135
"Gene_2676",55,68,101,66,97,117
"Gene_2677",46,74,96,56,98,126
"Gene_2678",49,86,99,60,107,129
"Gene_2679",54,65,99,67,100,111
"Gene_2680",56,78,98,69,109,141
"Gene_2681",66,87,103,58,95,96
"Gene_2682",63,71,109,66,94,124
"Gene_2683",59,84,100,59,84,146
"Gene_2684",52,91,124,73,95,129
"Gene_2685",58,80,88,59,108,94
"Gene_2686",57,74,100,61,86,102
"Gene_2687",62,76,120,58,70,117
"Gene_2688",55,75,100,54,103,123
"Gene_2689",53,78,107,63,95,118
"Gene_2690",55,71,99,71,94,120
"Gene_2691",51,84,77,74,107,106
"Gene_2692",60,95,105,54,89,111
"Gene_2693",48,102,122,69,97,141
"Gene_2694",64,85,101,60,113,114
"Gene_2695",64,78,107,68,91,112
"Gene_2696",58,91,100,65,104,106
"Gene_2697",60,86,96,55,86,112
"Gene_2698",51,98,95,63,100,122
"Gene_2699",58,83,118,79,96,108
"Gene_2700",50,78,125,46,98,104
"Gene_2701",62,87,103,70,88,122
"Gene_2702",57,81,103,68,92,135
"Gene_2703",60,83,84,66,97,111
"Gene_2704",63,92,103,60,95,108
"Gene_2705",62,68,100,66,88,160
"Gene_2706",54,69,109,70,80,123
"Gene_2707",58,71,104,66,115,105
"Gene_2708",64,85,104,60,103,130
"Gene_2709",67,73,91,73,108,136
"Gene_2710",48,91,98,55,113,117
"Gene_2711",54,73,96,56,76,108
"Gene_2712",59,80,113,62,100,118
"Gene_2713",55,59,94,57,91,112
"Gene_2714",54,82,121,59,107,142
"Gene_2715",57,72,107,58,104,130
"Gene_2716",56,74,109,69,77,130
"Gene_2717",58,95,100,67,92,118
"Gene_2718",48,78,101,68,83,132
"Gene_2719",57,77,77,66,106,99
"Gene_2720",56,86,121,65,89,120
"Gene_2721",62,82,84,61,100,128
"Gene_2722",60,94,109,66,101,141
"Gene_2723",61,87,122,71,107,138
"Gene_2724",62,62,105,74,104,112
"Gene_2725",59,74,109,66,102,124
"Gene_2726",55,86,108,69,95,112
"Gene_2727",49,81,95,62,96,87
"Gene_2728",57,89,95,51,90,100
"Gene_2729",67,62,113,67,94,117
"Gene_2730",61,94,112,65,107,122
"Gene_2731",56,93,99,61,90,93
"Gene_2732",59,77,121,73,91,124
"Gene_2733",54,81,99,64,97,124
"Gene_2734",58,85,95,71,112,130
"Gene_2735",57,84,91,52,104,114
"Gene_2736",53,88,104,47,91,110
"Gene_2737",54,79,88,63,84,106
"Gene_2738",59,81,121,59,97,114
"Gene_2739",66,77,109,70,95,111
"Gene_2740",53,66,92,66,108,112
"Gene_2741",50,68,113,64,83,123
"Gene_2742",55,73,86,61,97,108
"Gene_2743",61,77,107,73,90,114
"Gene_2744",50,74,127,69,88,124
"Gene_2745",51,80,100,81,80,104
"Gene_2746",58,82,91,45,90,123
"Gene_2747",61,89,107,63,90,142
"Gene_2748",64,78,83,69,125,132
"Gene_2749",60,68,88,66,84,122
"Gene_2750",49,80,122,58,90,120
"Gene_2751",58,78,101,62,108,138
"Gene_2752",56,76,110,72,76,128
"Gene_2753",52,75,107,66,118,100
"Gene_2754",57,67,108,58,103,130
"Gene_2755",57,74,98,58,98,122
"Gene_2756",55,100,91,65,98,94
"Gene_2757",58,82,114,58,106,129
"Gene_2758",48,91,110,74,102,123
"Gene_2759",62,82,83,53,104,126
"Gene_2760",50,97,116,63,118,114
"Gene_2761",50,78,118,67,102,147
"Gene_2762",46,71,108,70,107,123
"Gene_2763",59,66,108,65,102,130
"Gene_2764",58,86,92,62,107,98
"Gene_2765",52,66,87,78,103,111
"Gene_2766",50,84,101,70,108,147
"Gene_2767",54,82,124,69,90,128
"Gene_2768",49,85,126,70,79,112
"Gene_2769",55,81,107,65,95,144
"Gene_2770",51,74,99,62,92,160
"Gene_2771",51,81,103,51,106,116
"Gene_2772",59,79,118,64,108,134
"Gene_2773",64,85,103,60,88,102
"Gene_2774",57,72,110,59,112,153
"Gene_2775",61,82,96,59,110,99
"Gene_2776",52,90,105,58,97,104
"Gene_2777",57,70,95,66,122,136
"Gene_2778",66,83,98,73,102,102
"Gene_2779",53,83,118,66,82,120
"Gene_2780",59,82,103,61,91,132
"Gene_2781",60,83,86,62,107,112
"Gene_2782",64,65,103,76,90,117
"Gene_2783",46,78,120,61,98,104
"Gene_2784",55,72,90,68,95,118
"Gene_2785",52,83,101,76,103,150
"Gene_2786",59,82,92,65,106,114
"Gene_2787",47,95,126,54,104,114
"Gene_2788",47,76,78,65,94,99
"Gene_2789",57,76,107,68,92,140
"Gene_2790",66,87,118,66,94,117
"Gene_2791",65,70,113,59,97,140
"Gene_2792",39,80,114,57,100,132
"Gene_2793",66,81,109,59,103,112
"Gene_2794",54,76,105,66,84,108
"Gene_2795",42,83,101,62,91,140
"Gene_2796",51,80,88,62,103,114
"Gene_2797",58,68,105,66,100,102
"Gene_2798",55,94,133,66,98,126
"Gene_2799",49,67,108,68,101,129
"Gene_2800",55,74,96,61,101,120
"Gene_2801",64,87,124,58,83,116
"Gene_2802",55,95,118,63,89,122
"Gene_2803",52,71,99,66,90,123
"Gene_2804",64,73,99,68,109,138
"Gene_2805",53,86,88,68,95,136
"Gene_2806",50,88,83,62,94,118
"Gene_2807",62,84,92,62,83,106
"Gene_2808",60,78,103,51,91,114
"Gene_2809",57,107,110,77,95,129
"Gene_2810",66,88,103,70,90,92
"Gene_2811",49,76,96,62,112,108
"Gene_2812",46,89,98,55,106,129
"Gene_2813",56,81,92,69,97,124
"Gene_2814",59,75,108,66,114,110
"Gene_2815",59,81,107,78,96,124
"Gene_2816",63,84,77,70,91,114
"Gene_2817",50,74,124,66,85,118
"Gene_2818",59,69,88,59,100,152
"Gene_2819",64,76,126,58,115,144
"Gene_2820",62,88,108,55,98,87
"Gene_2821",55,81,81,57,91,110
"Gene_2822",46,73,83,57,97,128
"Gene_2823",48,75,125,66,101,120
"Gene_2824",53,78,126,54,89,120
"Gene_2825",53,74,112,66,94,132
"Gene_2826",57,66,92,65,97,122
"Gene_2827",56,88,121,68,103,117
"Gene_2828",56,74,101,67,94,117
"Gene_2829",62,94,94,65,82,112
"Gene_2830",44,86,105,56,86,96
"Gene_2831",55,80,120,70,92,138
"Gene_2832",52,54,94,74,89,141
"Gene_2833",50,84,104,63,126,96
"Gene_2834",52,85,126,62,126,124
"Gene_2835",55,80,99,68,70,126
"Gene_2836",61,77,105,73,91,123
"Gene_2837",57,77,92,73,116,128
"Gene_2838",43,94,116,63,91,116
"Gene_2839",52,75,88,53,108,99
"Gene_2840",67,74,103,67,114,93
